RNAS	nombre	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	habilita_opcion
108100	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO, ENCENDIDO Y AFINES	OSPIF             	SARMIENTO 640 3 PISO FRENTE                       	CAPITAL FEDERAL - SARMIENTO(1-1400)	1041	CAPITAL FEDERAL               	08002200474         	08002200474         	contacto@ospif.ar	www.ospif.ar                                      	NO
110404	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQUINA	OSPILM            	25 DE MAYO 1724 E/ LINCOLN Y JUAREZ (79 1724 E 46/	SAN MARTIN ,PTDO. GENERAL SAN	1650	BUENOS AIRES                  	4-752-9621          	                    	institucional@ospilm.org.ar	www.ospilm.org.ar                                 	SI
109509	OBRA SOCIAL DEL PERSONAL DE LOS HIPODROMOS DE BUENOS AIRES Y SAN ISIDRO	OSPHGBAYSI        	PICO 1671/75 PISO 5 DTO A                         	CAPITAL FEDERAL - PICO(1501-3400)	1429	CAPITAL FEDERAL               	5-278-3640          	0800-888-5377       	"osshipo.com.ar ;"	                                                  	NO
113809	OBRA SOCIAL DE COMISARIOS NAVALES	OSOCNA            	BERNARDO DE IRIGOYEN 840                          	CAPITAL FEDERAL - IRIGOYEN BERNARDO DE(1-1200)	1072	CAPITAL FEDERAL               	4 -300-7033         	0800-333-6726       		                                                  	SI
109608	OBRA SOCIAL DEL PERSONAL MENSUALIZADO DEL JOCKEY CLUB DE BUENOS AIRES Y LOS HIPODROMOS DE PALERMO Y SAN ISIDRO	                  	AVDA. CABILDO 4193                                	CAPITAL FEDERAL - CABILDO AVDA.(2901-5000)	1429	CAPITAL FEDERAL               	4 702-7948          	                    		                                                  	SI
108407	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD FRUTICOLA	OSPAF             	SAAVEDRA 121                                      	CONCORDIA	3200	ENTRE RIOS                    	0345-4229579        	                    	OSPAF@YAHOO.COM.AR	EN CRISIS CONFORME DECRETO 1400/01 (VER OBSERV)   	NO
105705	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y AFINES	OSPICHA           	AVDA SAN JUAN 4229                                	CAPITAL FEDERAL - SAN JUAN AVDA.(3001-4400)	1233	CAPITAL FEDERAL               	1152326197	                    		                                                  	SI
123909	OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA	OSVARA            	GALLO 443                                         	CAPITAL FEDERAL - GALLO(1-1200)	1172	CAPITAL FEDERAL               	4 -866-5482         	                    		                                                  	SI
126700	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA TUCUMANA	                  	CONGRESO DE TUCUMAN  341                          	SAN MIGUEL DE TUCUMAN	4000	TUCUMAN                       	0381-4225810        	                    		                                                  	NO
128706	OBRA SOCIAL DEL PERSONAL DE DRAGADO Y BALIZAMIENTO	OSPEDYB           	CALLE PIEDRAS 1642                                	CAPITAL FEDERAL - PIEDRAS(1201-2000)	1140	CAPITAL FEDERAL               	011-5351-4649       	                    	info@ospedyb.com.ar	Watsapp:11-344-3245                               	SI
121903	OBRA SOCIAL DE VAREADORES	                  	ENTRE RIOS 1395                                   	MARTINEZ	1640	BUENOS AIRES                  	                    	                    		https://osvareadores.com.ar/                      	SI
111506	OBRA SOCIAL ASOCIACION PROFESIONAL DE CAPITANES Y BAQUEANOS FLUVIALES Y PERSONAL CON  CONOCIMIENTO DE ZONA DE LA MARINA MERCANTE	OSCAPBAQFLU       	ARISTOBULO DEL VALLE 319                          	CAPITAL FEDERAL - DEL VALLE ARISTOBULO(301-900)	1161	CAPITAL FEDERAL               	4 -362-8084         	                    		                                                  	NO
113403	OBRA SOCIAL DEL PERSONAL NAVAL	OSPENA            	JUAN  DE DIOS FILIBERTO 914                       	CAPITAL FEDERAL - MOUSSY(901-1100)	1162	CAPITAL FEDERAL               	4 -301-7697         	                    	correo.ospena@gmail.com	                                                  	SI
103006	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA	OSPIB             	CALLE 91 N# 1886                                  	SAN MARTIN ,PTDO. GENERAL SAN	1650	BUENOS AIRES                  	4 755-2931          	                    		                                                  	NO
120702	OBRA SOCIAL DEL PERSONAL DE LAS TELECOMUNICACIONES DE LA REPUBLICA ARGENTINA	OSTEL             	AVDA JUAN DE GARAY 2569                           	CAPITAL FEDERAL - GARAY JUAN DE AVDA.(1801-4400)	1256	CAPITAL FEDERAL               	                    	0800-266-4230       	comunicaciones@ostel.org	www.ostel.org                                     	NO
121705	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF	OSPAT             	CARLOS PELLEGRINI 887 8 PISO                      	CAPITAL FEDERAL - PELLEGRINI CARLOS(1-1300)	1009	CAPITAL FEDERAL               	5070-2000           	0800-999-1656       		www.ospat.com.ar                                  	SI
110503	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA	OSPIL             	AVDA. HIPOLITO YRIGOYEN 4054                      	CAPITAL FEDERAL - YRIGOYEN HIPOLITO(3301-4200)	1208	CAPITAL FEDERAL               	4 -883-9200         	                    	obrasocial@atilra.org.ar	                                                  	SI
118309	OBRA SOCIAL AGENTES DE PROPAGANDA MEDICA DE CORDOBA	OSAPMCBA          	AVDA OLMOS 485 PISO 2 (ESQUINA STAGO DEL ESTERO)  	Cordoba	5003	CORDOBA                       	0351-4484412/13/17  	                    	info@osapmcba.com.ar	www.osapmcba.com.ar                               	SI
115201	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PESCADO DE MAR DEL PLATA	OSPIP             	12 DE OCTUBRE 4445                                	MAR DEL PLATA	7600	BUENOS AIRES                  	0223-4-800554       	                    		                                                  	NO
108704	OBRA SOCIAL DE TECNICOS DE FUTBOL	OSTECF            	VIAMONTE 1328   PB  PISO 1                        	CAPITAL FEDERAL - VIAMONTE(1-1400)	1053	CAPITAL FEDERAL               	4 -371-3969         	                    		www.ostecf.com.ar                                 	SI
117801	 OBRA SOCIAL DEL PERSONAL DE PRENSA DE MENDOZA	                  	CHILE 1661                                        	MENDOZA	5500	MENDOZA                       	0261-4 -251179      	                    	administracion@prensaludmza.org.ar	                                                  	SI
119203	OBRA SOCIAL DE RELOJEROS Y JOYEROS	OSRJA             	VALENTIN GOMEZ 3828                               	CAPITAL FEDERAL - GOMEZ VALENTIN(2801-3900)	1191	CAPITAL FEDERAL               	4 -867-5420         	0800-333-3420       	"facturacion5@osrja.org.ar"""	www.osrja..org.ar                                 	SI
127208	OBRA SOCIAL DE MANDOS MEDIOS DE TELECOMUNICACIONES EN LA REPUBLICA ARGENTINA Y MERCOSUR	OSMMEDT           	URIARTE 1317                                      	CAPITAL FEDERAL - URIARTE(801-2000)	1414	CAPITAL FEDERAL               	4776-6847 / 6795    	0810 777 6767       	info@osmmedt.com.ar	www.osmmedt.org.ar                                	SI
115102	OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AIRES	OSTPBA            	PERU 590 PISO 5                                   	CAPITAL FEDERAL - PERU(501-1200)	1068	CAPITAL FEDERAL               	5-218-2832/39       	0800-345-6787       	raulbarr22@hotmail.com	www.ostpba.org.ar                                 	SI
117702	OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLATA	OSPREN            	DORREGO 1734                                      	MAR DEL PLATA	7600	BUENOS AIRES                  	0223-4-734394       	                    	ospren@prensamardelplata.org.ar.	www.prensamardelplata.org.ar                      	SI
112509	OBRA SOCIAL MODELOS ARGENTINOS	OSMA              	GOROSTIAGA 2440                                   	CAPITAL FEDERAL - GOROSTIAGA(1501-2500)	1426	CAPITAL FEDERAL               	4-371-8474/5303     	                    	osmodelos@fibertel.com.ar	                                                  	NO
119906	OBRA SOCIAL DE SERENOS DE BUQUES	                  	BERNARDO DE IRIGOYEN 972/4 PISO 9 OF. 45          	CAPITAL FEDERAL - IRIGOYEN BERNARDO DE(1-1200)	1072	CAPITAL FEDERAL               	5-276-4700          	0800-345-7332       	ossdeb@fideisalud.com.ar	www.fideisalud.com.ar                             	NO
